starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:23:00 2021	1625516580	0	1072	1072	1071
Mon Jul 05 21:22:46 2021	1625516566	0	1072	1072	1072
Mon Jul 05 21:22:47 2021	1625516567	0	1073	1073	1073
Mon Jul 05 21:22:53 2021	1625516573	0	1073	1074	1073
Mon Jul 05 21:22:51 2021	1625516571	0	1074	1074	1071
Mon Jul 05 21:22:47 2021	1625516567	0	1074	1074	1074
Mon Jul 05 21:22:53 2021	1625516573	0	1074	1075	1074
Mon Jul 05 21:22:53 2021	1625516573	0	1074	1075	1074
Mon Jul 05 21:23:09 2021	1625516589	0	1075	1075	1074
Mon Jul 05 21:22:51 2021	1625516571	0	1075	1075	1075
Mon Jul 05 21:22:47 2021	1625516567	0	1078	1078	1077
Mon Jul 05 21:23:09 2021	1625516589	0	1079	1079	1074
Mon Jul 05 21:22:46 2021	1625516566	0	1079	1079	1078
Mon Jul 05 21:22:47 2021	1625516567	0	1079	1079	1078
Mon Jul 05 21:22:46 2021	1625516566	0	1079	1079	1078
Mon Jul 05 21:22:46 2021	1625516566	0	1080	1080	1079
Mon Jul 05 21:22:44 2021	1625516564	5	1075	1080	1075
Mon Jul 05 21:22:50 2021	1625516570	0	1081	1081	1080
Mon Jul 05 21:22:46 2021	1625516566	0	1081	1081	1078
Mon Jul 05 21:22:47 2021	1625516567	0	1081	1081	1080
Mon Jul 05 21:22:47 2021	1625516567	0	1081	1081	1081
Mon Jul 05 21:22:46 2021	1625516566	0	1081	1081	1080
Mon Jul 05 21:22:52 2021	1625516572	0	1081	1082	1081
Mon Jul 05 21:22:47 2021	1625516567	0	1082	1082	1081
Mon Jul 05 21:22:45 2021	1625516565	0	1082	1082	1081
Mon Jul 05 21:23:09 2021	1625516589	0	1082	1082	1082
Mon Jul 05 21:22:49 2021	1625516569	0	1082	1082	1082
Mon Jul 05 21:22:50 2021	1625516570	0	1083	1083	1082
Mon Jul 05 21:22:47 2021	1625516567	0	1083	1083	1082
Mon Jul 05 21:22:47 2021	1625516567	0	1083	1083	1083
Mon Jul 05 21:22:50 2021	1625516570	0	1084	1084	1083
Mon Jul 05 21:23:00 2021	1625516580	0	1084	1084	1084
Mon Jul 05 21:22:47 2021	1625516567	0	1084	1084	1084
Mon Jul 05 21:22:47 2021	1625516567	0	1085	1085	1084
Mon Jul 05 21:22:49 2021	1625516569	0	1085	1085	1084
Mon Jul 05 21:22:45 2021	1625516565	0	1086	1086	1084
Mon Jul 05 21:22:53 2021	1625516573	0	1086	1086	1086
Mon Jul 05 21:22:47 2021	1625516567	0	1086	1087	1086
Mon Jul 05 21:22:46 2021	1625516566	0	1087	1087	1085
Mon Jul 05 21:23:00 2021	1625516580	0	1087	1088	1087
Mon Jul 05 21:22:45 2021	1625516565	0	1088	1088	1087
Mon Jul 05 21:23:09 2021	1625516589	0	1088	1089	1087
Mon Jul 05 21:23:00 2021	1625516580	0	1088	1089	1088
Mon Jul 05 21:22:47 2021	1625516567	0	1089	1089	1088
Mon Jul 05 21:22:49 2021	1625516569	0	1089	1089	1089
Mon Jul 05 21:23:00 2021	1625516580	0	1090	1090	1090
Mon Jul 05 21:23:09 2021	1625516589	0	1091	1091	1090
Mon Jul 05 21:22:45 2021	1625516565	0	1092	1092	1092
Mon Jul 05 21:22:47 2021	1625516567	0	1092	1092	1092
Mon Jul 05 21:22:46 2021	1625516566	0	1092	1093	1092
Mon Jul 05 21:23:00 2021	1625516580	0	1093	1093	1092
Mon Jul 05 21:22:51 2021	1625516571	0	1093	1093	1092
Mon Jul 05 21:22:46 2021	1625516566	0	1093	1093	1093
Mon Jul 05 21:22:53 2021	1625516573	0	1093	1093	1093
Mon Jul 05 21:22:52 2021	1625516572	0	1093	1094	1093
Mon Jul 05 21:22:47 2021	1625516567	0	1094	1095	1094
Mon Jul 05 21:22:53 2021	1625516573	0	1095	1095	1094
Mon Jul 05 21:22:51 2021	1625516571	0	1095	1095	1094
Mon Jul 05 21:22:49 2021	1625516569	0	1096	1096	1095
Mon Jul 05 21:23:01 2021	1625516581	1	1095	1096	1095
Mon Jul 05 21:23:01 2021	1625516581	2	1095	1096	1094
Mon Jul 05 21:22:49 2021	1625516569	0	1097	1097	1095
Mon Jul 05 21:23:00 2021	1625516580	0	1097	1097	1097
Mon Jul 05 21:22:46 2021	1625516566	0	1097	1097	1097
Mon Jul 05 21:22:53 2021	1625516573	0	1100	1100	1099
Mon Jul 05 21:22:49 2021	1625516569	0	1100	1100	1099
Mon Jul 05 21:22:50 2021	1625516570	0	1100	1100	1099
Mon Jul 05 21:22:50 2021	1625516570	0	1100	1100	1099
Mon Jul 05 21:23:00 2021	1625516580	0	1100	1100	1100
Mon Jul 05 21:22:53 2021	1625516573	0	1101	1101	1100
Mon Jul 05 21:22:45 2021	1625516565	0	1101	1101	1100
Mon Jul 05 21:22:49 2021	1625516569	0	1101	1101	1100
Mon Jul 05 21:22:56 2021	1625516576	0	1102	1102	1101
Mon Jul 05 21:22:53 2021	1625516573	0	1102	1102	1101
Mon Jul 05 21:22:53 2021	1625516573	0	1102	1102	1101
Mon Jul 05 21:22:53 2021	1625516573	0	1102	1102	1102
Mon Jul 05 21:22:52 2021	1625516572	0	1102	1102	1102
Mon Jul 05 21:22:56 2021	1625516576	0	1103	1103	1102
Mon Jul 05 21:22:53 2021	1625516573	0	1103	1103	1102
Mon Jul 05 21:22:49 2021	1625516569	0	1103	1103	1100
Mon Jul 05 21:23:01 2021	1625516581	0	1103	1103	1103
Mon Jul 05 21:23:09 2021	1625516589	0	1103	1104	1103
Mon Jul 05 21:22:46 2021	1625516566	0	1103	1104	1103
Mon Jul 05 21:22:44 2021	1625516564	3	1100	1104	1092
Mon Jul 05 21:23:09 2021	1625516589	0	1104	1104	1103
Mon Jul 05 21:22:46 2021	1625516566	0	1104	1104	1104
Mon Jul 05 21:23:00 2021	1625516580	0	1104	1105	1104
Mon Jul 05 21:22:52 2021	1625516572	0	1105	1106	1105
Mon Jul 05 21:22:55 2021	1625516575	0	1106	1106	1106
Mon Jul 05 21:22:45 2021	1625516565	0	1106	1106	1106
Mon Jul 05 21:22:47 2021	1625516567	0	1106	1106	1106
Mon Jul 05 21:22:47 2021	1625516567	0	1107	1107	1106
Mon Jul 05 21:22:49 2021	1625516569	0	1107	1108	1107
Mon Jul 05 21:22:53 2021	1625516573	0	1108	1108	1107
Mon Jul 05 21:22:56 2021	1625516576	0	1108	1109	1108
Mon Jul 05 21:22:51 2021	1625516571	0	1108	1109	1108
Mon Jul 05 21:23:09 2021	1625516589	0	1109	1109	1108
Mon Jul 05 21:22:49 2021	1625516569	0	1109	1109	1109
Mon Jul 05 21:23:00 2021	1625516580	0	1109	1109	1108
Mon Jul 05 21:22:52 2021	1625516572	0	1109	1110	1108
Mon Jul 05 21:22:56 2021	1625516576	0	1109	1110	1109
Mon Jul 05 21:22:47 2021	1625516567	0	1110	1110	1109
Mon Jul 05 21:22:53 2021	1625516573	0	1110	1110	1109
Mon Jul 05 21:22:55 2021	1625516575	0	1110	1110	1110
Mon Jul 05 21:23:08 2021	1625516588	0	1110	1110	1109
Mon Jul 05 21:22:53 2021	1625516573	0	1110	1110	1110
Mon Jul 05 21:23:09 2021	1625516589	0	1110	1110	1110
Mon Jul 05 21:22:47 2021	1625516567	0	1110	1111	1110
Mon Jul 05 21:22:52 2021	1625516572	0	1110	1111	1110
Mon Jul 05 21:22:52 2021	1625516572	0	1111	1111	1110
Mon Jul 05 21:23:00 2021	1625516580	0	1111	1111	1111
Mon Jul 05 21:22:53 2021	1625516573	0	1111	1112	1111
Mon Jul 05 21:22:51 2021	1625516571	0	1112	1112	1111
Mon Jul 05 21:22:53 2021	1625516573	0	1112	1112	1111
Mon Jul 05 21:22:56 2021	1625516576	0	1112	1112	1111
Mon Jul 05 21:22:46 2021	1625516566	0	1113	1113	1112
Mon Jul 05 21:22:47 2021	1625516567	0	1113	1113	1112
Mon Jul 05 21:22:51 2021	1625516571	0	1113	1113	1112
Mon Jul 05 21:22:55 2021	1625516575	0	1112	1113	1112
Mon Jul 05 21:22:50 2021	1625516570	0	1113	1113	1112
Mon Jul 05 21:22:53 2021	1625516573	0	1113	1113	1112
Mon Jul 05 21:22:56 2021	1625516576	0	1114	1115	1114
Mon Jul 05 21:22:49 2021	1625516569	0	1115	1115	1114
Mon Jul 05 21:23:05 2021	1625516585	0	1115	1115	1114
Mon Jul 05 21:23:09 2021	1625516589	1	1115	1115	1114
Mon Jul 05 21:22:45 2021	1625516565	0	1115	1115	1113
Mon Jul 05 21:22:51 2021	1625516571	0	1115	1115	1115
Mon Jul 05 21:22:51 2021	1625516571	0	1115	1115	1114
Mon Jul 05 21:22:47 2021	1625516567	0	1115	1116	1115
Mon Jul 05 21:22:44 2021	1625516564	5	1112	1117	1111
Mon Jul 05 21:22:52 2021	1625516572	0	1117	1117	1116
Mon Jul 05 21:22:46 2021	1625516566	0	1117	1117	1116
Mon Jul 05 21:23:05 2021	1625516585	0	1117	1117	1116
Mon Jul 05 21:22:55 2021	1625516575	0	1117	1117	1117
Mon Jul 05 21:22:46 2021	1625516566	0	1117	1117	1117
Mon Jul 05 21:22:49 2021	1625516569	1	1117	1118	1117
Mon Jul 05 21:22:46 2021	1625516566	0	1118	1118	1117
Mon Jul 05 21:22:49 2021	1625516569	0	1118	1118	1118
Mon Jul 05 21:22:51 2021	1625516571	0	1118	1118	1118
Mon Jul 05 21:22:52 2021	1625516572	0	1119	1119	1118
Mon Jul 05 21:23:01 2021	1625516581	0	1119	1119	1119
Mon Jul 05 21:22:52 2021	1625516572	0	1119	1119	1119
Mon Jul 05 21:22:51 2021	1625516571	0	1119	1120	1119
Mon Jul 05 21:22:47 2021	1625516567	0	1119	1120	1119
Mon Jul 05 21:23:04 2021	1625516584	0	1120	1120	1120
Mon Jul 05 21:22:55 2021	1625516575	0	1120	1121	1120
Mon Jul 05 21:22:52 2021	1625516572	0	1121	1121	1120
Mon Jul 05 21:22:58 2021	1625516578	0	1121	1121	1121
Mon Jul 05 21:22:49 2021	1625516569	0	1122	1122	1121
Mon Jul 05 21:22:50 2021	1625516570	0	1122	1122	1121
Mon Jul 05 21:22:58 2021	1625516578	0	1122	1122	1122
Mon Jul 05 21:23:01 2021	1625516581	0	1122	1123	1122
Mon Jul 05 21:22:44 2021	1625516564	4	1119	1123	1110
Mon Jul 05 21:22:50 2021	1625516570	0	1123	1123	1122
Mon Jul 05 21:22:44 2021	1625516564	4	1119	1123	1112
Mon Jul 05 21:22:47 2021	1625516567	0	1123	1123	1122
Mon Jul 05 21:22:51 2021	1625516571	0	1123	1123	1123
Mon Jul 05 21:22:45 2021	1625516565	0	1123	1124	1123
Mon Jul 05 21:22:46 2021	1625516566	0	1123	1124	1122
