starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:20:56 2021	1625516456	0	1137	1137	1136
Mon Jul 05 21:20:58 2021	1625516458	0	1137	1137	1136
Mon Jul 05 21:20:58 2021	1625516458	0	1137	1137	1137
Mon Jul 05 21:21:02 2021	1625516462	0	1138	1138	1137
Mon Jul 05 21:20:58 2021	1625516458	0	1139	1139	1138
Mon Jul 05 21:20:55 2021	1625516455	0	1139	1139	1138
Mon Jul 05 21:20:59 2021	1625516459	0	1139	1139	1139
Mon Jul 05 21:20:49 2021	1625516449	0	1139	1139	1139
Mon Jul 05 21:20:45 2021	1625516445	0	1140	1140	1139
Mon Jul 05 21:20:59 2021	1625516459	0	1140	1140	1139
Mon Jul 05 21:20:52 2021	1625516452	0	1140	1140	1140
Mon Jul 05 21:20:49 2021	1625516449	0	1141	1141	1140
Mon Jul 05 21:20:46 2021	1625516446	0	1141	1141	1141
Mon Jul 05 21:21:09 2021	1625516469	0	1141	1141	1141
Mon Jul 05 21:20:58 2021	1625516458	0	1142	1142	1142
Mon Jul 05 21:20:52 2021	1625516452	0	1142	1142	1141
Mon Jul 05 21:20:58 2021	1625516458	0	1143	1143	1142
Mon Jul 05 21:21:02 2021	1625516462	0	1144	1144	1143
Mon Jul 05 21:20:49 2021	1625516449	1	1145	1146	1144
Mon Jul 05 21:20:54 2021	1625516454	1	1145	1146	1145
Mon Jul 05 21:20:48 2021	1625516448	0	1146	1147	1145
Mon Jul 05 21:20:52 2021	1625516452	0	1147	1147	1147
Mon Jul 05 21:20:55 2021	1625516455	0	1148	1148	1147
Mon Jul 05 21:20:56 2021	1625516456	0	1148	1148	1147
Mon Jul 05 21:20:55 2021	1625516455	0	1148	1148	1147
Mon Jul 05 21:20:48 2021	1625516448	0	1148	1148	1148
Mon Jul 05 21:21:09 2021	1625516469	0	1148	1148	1145
Mon Jul 05 21:20:52 2021	1625516452	0	1149	1149	1148
Mon Jul 05 21:20:55 2021	1625516455	0	1149	1149	1149
Mon Jul 05 21:20:50 2021	1625516450	0	1149	1149	1149
Mon Jul 05 21:20:58 2021	1625516458	0	1150	1150	1150
Mon Jul 05 21:20:52 2021	1625516452	0	1150	1150	1150
Mon Jul 05 21:20:56 2021	1625516456	0	1150	1151	1150
Mon Jul 05 21:20:45 2021	1625516445	0	1151	1151	1150
Mon Jul 05 21:20:55 2021	1625516455	0	1151	1151	1150
Mon Jul 05 21:20:58 2021	1625516458	0	1151	1151	1151
Mon Jul 05 21:20:49 2021	1625516449	0	1151	1151	1151
Mon Jul 05 21:20:54 2021	1625516454	0	1152	1153	1152
Mon Jul 05 21:20:58 2021	1625516458	0	1153	1153	1152
Mon Jul 05 21:20:45 2021	1625516445	0	1153	1153	1152
Mon Jul 05 21:20:54 2021	1625516454	0	1153	1153	1153
Mon Jul 05 21:20:55 2021	1625516455	0	1154	1154	1153
Mon Jul 05 21:20:47 2021	1625516447	0	1154	1154	1154
Mon Jul 05 21:20:55 2021	1625516455	0	1154	1155	1154
Mon Jul 05 21:20:55 2021	1625516455	0	1155	1155	1154
Mon Jul 05 21:20:45 2021	1625516445	0	1155	1155	1154
Mon Jul 05 21:20:59 2021	1625516459	0	1156	1156	1155
Mon Jul 05 21:20:52 2021	1625516452	0	1156	1156	1155
Mon Jul 05 21:21:03 2021	1625516463	0	1156	1156	1155
